ID,UNIQUE_ID,Interaction_ID,ID1,EVENT_MASTER,GROUPED_ID,BAR_ID,SOURCE_ID,DATE,DYAD_CODE,BCode,NUMBER_OF_BASINS,LOCATION,CCODE1,CCODE2,IRM1,IRM2,BCCODE1,BCCODE2,COUNTRY_LIST,NUMBER_OF_Countries,COPDAB_SCALE,BAR_Scale,EVENT_TYPE,EVENT_SUMMARY,Issue_Type1,Issue_Type2,Macro_Event,Comments,SOURCE,Source_Source,KLL_Categ,FBIS_Region,DOC_DATE,EVENT_ISSUE,KLL_ISSUE_NUMBER
374,263,1,468,395,C222,C222,334330,12/23/1955,LBN_INT,NITL,0,LITANI,LBN,INT,M,M,NITL_LBN,NITL_INT,Lebanon (internal),1,5,3,n/a-internal/not international basin,Lebanon approves $27M loan granted for Litani River project,10,0,Litani River,,COPDAB,Arab World,,,,,
402,283,1,497,424,C240,C240,22782,5/3/1956,TWN_USA,NITL,0,n/a,TWN,USA,R,I,NITL_TWN,NITL_USA,Taiwan--United States,2,4,4,n/a-not international basin,United States aid to Taiwan United States give 4000000 to help CDHT build dam,10,0,,Taiwan,COPDAB,Asian Recorder (India),,,,,
437,307,1,534,461,C264,C264,24514,9/26/1956,IND_USA,NITL,0,?,IND,USA,M,M,NITL_IND,NITL_USA,India--United States,2,7,1,n/a-groundwater,United States reports to India headway gained in India-US GRO-water exploration,11,0,,groundwater,COPDAB,Asian Recorder (India),,,,,
449,318,1,546,473,C273,C273,411207,11/30/1956,LKA_NZL,NITL,0,n/a,LKA,NZL,I,R,NITL_LKA,NITL_NZL,Sri Lanka--New Zealand,2,4,4,n/a-not international basin,Sri Lanka and New Zealand agree aid for Sri Lankan irrigation work,9,0,,SriLanka/New Zealand,COPDAB,Keesing's Contemporary Archives,,,,,
499,354,1,675,603,C302,C302,334385,9/22/1957,LBN_INT,NITL,0,LITANI,LBN,INT,M,M,NITL_LBN,NITL_INT,Lebanon (internal),1,5,3,n/a-internal/not international basin,Lebanon opens work on Litani River power and irrigation project,3,9,Litani River,,COPDAB,Arab World,,,,,
588,416,1,764,692,G39,G39,56986,9/9/1958,GHA_INT,NTAP,0,not specific,GHA,INT,M,M,NTAP_GHA,NTAP_INT,Ghana (internal),2,4,4,n/a-internal-drought,Ghana farmers whose crops damaged by drought get al-,2,0,,,GEDS,,,,,,
702,514,1,859,787,C443,C443,191551,9/1/1960,GIN_USR,NITL,0,not international,GIN,USR,R,I,NITL_GIN,NITL_USR,Guinea--USSR,2,4,4,n/a-not international basin,Soveit Union aid to Guinea in building Konkovre hydro-power scheme,3,0,,aka Konkoure,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
724,526,1,884,812,C455,C455,22845,12/1/1960,TWN_USA,NITL,0,?which dam,TWN,USA,R,I,NITL_TWN,NITL_USA,Taiwan--United States,2,4,4,n/a,United States and Taiwan approve US-$40M dam loan,11,10,,Tawain? - Island Nation,COPDAB,Facts on File,,,,,
742,540,1,904,832,C468,C468,28874,6/10/1961,PHL_USA,NITL,0,not international basin - Kouilou River,PHL,USA,R,I,NITL_PHL,NITL_USA,Philippines--United States,2,7,1,n/a-not international basin,United States discusses with Philippines Kouilou Dam,10,0,Kouilou Dam,US/Phillipines,COPDAB,Facts on File,,,,,
743,541,1,903,831,C469,C469,15542,6/10/1961,COG_USA,NITL,0,not international basin - Kouilou River,COG,USA,R,I,NITL_COG,NITL_USA,Congo Democratic Republic of the (Brazzaville)--United States,2,6,2,n/a-not international basin,United States promises to Democratic Republic of the Congo to study possibility of Kouilou Dam,0,0,Kouilou Dam,US/Congo-Brazzaville (KOUILOU River),COPDAB,Facts on File,,,,,
805,599,1,944,895,G42,G42,85494,12/1/1962,KEN_INT,NITL,0,Tana River,KEN,INT,M,M,NITL_KEN,NITL_INT,Kenya (internal),2,5,3,n/a-internal-river project,Kenya spends LB5 on Tana River survey,11,0,KEN - Tana River Project,,GEDS,,,,,,
818,612,1,957,908,C542,C542,146341,1/29/1963,CYP_GFR,NITL,0,n/a,CYP,GFR,R,I,NITL_CYP,NITL_GFR,Cyprus--German Fed. Republic (West Germany),2,4,4,n/a-not international basin,German Fed. Republic (West Germany) extends to Cyprus $2B-improve water supplies,11,2,,Cyprus,COPDAB,Middle Eastern Affairs,,,,,
881,634,1,1020,971,C560,C560,364547,11/12/1963,GBR_KWT,NITL,0,no international basin in Kuwait,GBR,KWT,R,I,NITL_GBR,NITL_KWT,Great Britain--Kuwait,2,4,4,n/a-not international basin,Kuwait and Great Britain agree LL2m to construct water distillation project,11,1,,UK/Kuwait,COPDAB,Arab World,,,,,
894,640,1,1033,984,G45,G45,93986,1/6/1964,NGA_INT,NTAP,0,not specific,NGA,INT,M,M,NTAP_NGA,NTAP_INT,Nigeria (internal),2,5,3,n/a-internal-swamp project,Nigeria begins swanpland restoration project,10,0,,,GEDS,,,,,,
909,653,1,598,526,C574,C574,35206,3/16/1964,CUB_USR,NITL,0,n/a,CUB,USR,I,R,NITL_CUB,NITL_USR,Cuba--USSR,2,4,4,n/a-not international basin,Cuba and Soviet Union agree on cooperation in land irrigation and drainage,9,0,,Cuba/USSR--not international basin since Cuba has none?,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
953,691,1,1085,1036,G1,G1,101740,11/21/1964,TZA_INT,NTAP,0,Hale hydroelectric,TZA,INT,M,M,NTAP_TZA,NTAP_INT,Tanzania (internal),2,5,3,n/a-internal-hydroelec,Tanzania begin Hale Hydro-Electric Project,3,0,Hale Hydro-electric Project,,COPDAB,,,,,,
1005,707,1,1137,1088,G2,G2,104274,3/5/1965,KEN_INT,NITL,0,Tana River,KEN,INT,M,M,NITL_KEN,NITL_INT,Kenya (internal),2,5,3,n/a-internal-river project,Kenya to start Tana River Project,11,0,KEN - Tana River Project,,COPDAB,,,,,,
1019,720,1,156,1102,C637,C637,335036,4/27/1965,LBN_INT,NITL,0,LITANI,LBN,INT,M,M,NITL_LBN,NITL_INT,Lebanon (internal),1,5,3,n/a-internal,Lebanon inaugurates new stage Litani Irrigation & Power Project,9,3,Litani River,,COPDAB,Middle East Journal,,,,,
1025,726,1,162,1108,C643,C643,358611,7/8/1965,KWT_SAU,NITL,0,Kuwait has no international basins,KWT,SAU,R,I,NITL_KWT,NITL_SAU,Kuwait--Saudi Arabia,2,5,3,n/a-not international basin,Saudi Arabia and Kuwait agree neutral zone-exchange oil info-water studies,11,0,,Saudi ArabiadiArabia/Kuwait,COPDAB,Middle East Journal,,,,,
1044,742,1,1156,1128,C658,C658,392719,10/18/1965,IND_INT,NITL,0,not international basin,IND,INT,M,M,NITL_IND,NITL_INT,India (internal),1,8,0,n/a-internal,India announces TO 4 Godavari irrigation project,9,0,,"internal, Godavari River",COPDAB,Asian Recorder (India),,,,,
1065,763,1,1177,1149,G3,G3,112818,1/1/1966,SOM_INT,NTAP,0,not specific,SOM,INT,M,M,NTAP_SOM,NTAP_INT,Somalia (internal),2,5,3,n/a-internal-irrigation,"a numberSomalia, a number  ~DEVELOP~  *Domestic target (parties not separately listed),  IRRIGATION PROGRAM* (Somalia develop irrigation program)",9,0,,,COPDAB,,,,,,
1085,781,1,1198,1170,C698,C698,419649,4/15/1966,MYS_SGP,NITL,0,?Singapore not international basin,MYS,SGP,I,R,NITL_MYS,NITL_SGP,Malaysia--Singapore,2,6,2,n/a-not international basin,Malaysia supports Singapore cutting off water and highway ,0,0,,Malaysia/Singapore,COPDAB,Asian Almanac,,,,,
1125,815,1,1239,1211,C732,C732,135157,9/30/1966,FRA_IRN,NITL,0,Not international basin,FRA,IRN,I,R,NITL_FRA,NITL_IRN,France--Iran,2,4,4,n/a-not international basin,France and Iran agree contract dam building near Isfahan,10,0,,,COPDAB,Middle East Journal,,,,,
1188,827,1,1302,1274,C744,C744,358615,11/21/1966,KWT_SAU,NITL,0,no international basin in Kuwait,KWT,SAU,R,I,NITL_KWT,NITL_SAU,Kuwait--Saudi Arabia,2,7,1,n/a-not int't basin,Saudi Arabia leaves to Kuwait MN agriculture and water,9,0,,Saudi ArabiadiArabia/Kuwait,COPDAB,Middle East Journal,,,,,
1218,856,1,1335,1307,G4,G4,130153,3/14/1967,RWA_TZA,NTAP,0,not specific,RWA,TZA,R,I,NTAP_RWA,NTAP_TZA,Rwanda--Tanzania,2,4,4,n/a-internal-irrigation,"Tanzania, and Rwanda announce irrigation scheme ",9,0,,,COPDAB,,,,,,
1225,863,1,1342,1314,C779,C779,312786,4/20/1967,IRQ_KWT,NITL,0,no international basin in Kuwait,IRQ,KWT,I,R,NITL_IRQ,NITL_KWT,Iraq--Kuwait,2,13,-5,n/a-not int't basin,Iraq raid Kuwait camp of Kuwait workers drilling water wells,2,0,,Article Available,COPDAB,New York Times,,,,,
1252,889,1,1371,1343,C807,C807,389862,10/1/1967,OTH_JPN,NITL,0,?Japan/Hong Kong,OTH,JPN,R,I,NITL_OTH,NITL_JPN,Hong Kong--Japan,2,4,4,n/a-not international basin,Japan resumes water pumping to Hong Kong,2,0,,,COPDAB,New York Times,,,,,
1310,929,1,1432,1415,C847,C847,147982,9/12/1968,GFR_IRN,NITL,0,not international basin,GFR,IRN,I,R,NITL_GFR,NITL_IRN,German Fed. Republic (West Germany)--Iran,2,4,4,n/a-not international basin,German Federal Republic loans to Iran RS 800 million for Mangil water and power projects,11,3,,,COPDAB,Middle East Journal,,,,,
1348,945,1,1470,1453,C862,C862,366277,12/4/1968,JPN_KWT,NITL,0,?relevant,JPN,KWT,R,I,NITL_JPN,NITL_KWT,Japan--Kuwait,2,4,4,research required (ExVar),Kuwait contracts with Japan firm to build water distillation plant,2,0,,,COPDAB,Arab Report and Record,,,,,
1355,952,1,1478,1461,C869,C869,35267,1/8/1969,CUB_USR,NITL,0,n/a,CUB,USR,M,M,NITL_CUB,NITL_USR,Cuba--USSR,2,4,4,n/a-not international basin,Cuba and USSR agree protocol - use aid in irrigation of drought area,9,0,,Cuba/USSR--not international basin since Cuba has none?,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
1407,993,1,1509,1492,G15,G15,160564,12/4/1969,KEN_INT,NTAP,0,not specific,KEN,INT,M,M,NTAP_KEN,NTAP_INT,Kenya,2,5,3,n/a-internal-water supply,Kenya establishes water supply project,2,10,Hale Hydro-electric Project,,COPDAB,,,,,,
1437,1016,1,1539,1522,C924,C924,64215,7/31/1970,COL_ITA,NITL,0,Bata River,COL,ITA,I,R,NITL_COL,NITL_ITA,Columbia--Italy,2,4,4,n/a-not international basin,Columbia and Italy agree Impreglio Co. build Chivor Dam for 125 million,10,0,,Columbia/Italy,COPDAB,Latin American Political Report,,,,,
1592,1137,1,1698,1684,G18,G18,196722,7/16/1973,UGA_ZAR,NTAP,0,Lake Idi Amin Dada,UGA,ZAR,R,I,NTAP_UGA,NTAP_ZAR,Uganda--Zaire,2,7,1,n/a-renaming water body,Zaire and Uganda Lake Edward rename as Lake Idi Amin Dada,0,0,,,COPDAB,,,,,,
1614,1158,1,1721,1707,G19,G19,200044,10/3/1973,BFA_GFR,NTAP,0,Burkina Faso  (KOME OR VOLTA?),BFA,GFR,R,I,NTAP_BFA,NTAP_GFR,Burkina Faso--German Fed. Republic (West Germany),2,9,-1,n/a-disease,The German Federal Republic (West Germany)  contributed $4.6m to Burkina Faso to fight river blindness.,11,0,,,COPDAB,,,,,,
1713,1251,1,1800,1786,C1157,C1157,65556,7/21/1974,VEN_INT,NITL,0,MARCAIBO,VEN,INT,M,M,NITL_VEN,NITL_INT,Venezuela (internal),1,4,4,n/a-internal,Venezuela studys contamination in Lake Maracaibo by the oil company subsidiary Creole,1,0,,,COPDAB,El Nacional (Venezuela),,,,,
1714,1252,1,1801,1787,C1158,C1158,65547,7/21/1974,VEN_INT,NITL,0,GUAIRE,VEN,INT,M,M,NITL_VEN,NITL_INT,Venezuela (internal),1,4,4,n/a-internal,Venezuela implements mop canalization of the River Guaire,10,0,,,COPDAB,El Nacional (Venezuela),,,,,
1722,1260,1,1809,1795,C1166,C1166,65638,8/19/1974,VEN_INT,NITL,0,MARCAIBO,VEN,INT,M,M,NITL_VEN,NITL_INT,Venezuela (internal),1,6,2,n/a-internal,Venezuela tests for contamination of Lake Maracaibo,1,0,,,COPDAB,El Nacional (Venezuela),,,,,
1813,1322,1,1890,1886,C1222,C1222,185314,7/1/1976,PER_USR,NITL,0,not international basin,PER,USR,R,I,NITL_PER,NITL_USR,Peru--USSR,2,4,4,n/a-not international basin,USSR constructs major hydro power projects in the Olmos Valley in Peru,0,0,,USSR/Peru,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
2005,1418,1,2162,2129,G61,G61A,EG81.00089,4/17/1981,EGY_UNO,NTAP,0,Med-Dead Canal,EGY,UNO,I,O,NTAP_EGY,NTAP_UNO,Egypt--Israel--Jordan--United Nations Organizations,4,0,,n/a-salt water canal,Egypt supported Jordan in protesting Israeli plans to build a canal linking the Mediterranean with the Dead Sea on April 17.,4,0,,,GEDS,,,,,,
2006,1418,2,2163,2130,G61,G61B,EG81.00089,4/17/1981,EGY_ISR,NTAP,0,Med-Dead Canal,EGY,ISR,I,R,NTAP_EGY,NTAP_ISR,Egypt--Israel--Jordan--United Nations Organizations,4,10,-2,n/a-salt water canal,Egypt supported Jordan in protesting Israeli plans to build a canal linking the Mediterranean with the Dead Sea on April 17.,4,0,,,GEDS,,,,,,
2007,1418,3,2164,2131,G61,G61C,EG81.00089,4/17/1981,EGY_JOR,NTAP,0,Med-Dead Canal,EGY,JOR,I,R,NTAP_EGY,NTAP_JOR,Egypt--Israel--Jordan--United Nations Organizations,4,6,2,n/a-salt water canal,Egypt supported Jordan in protesting Israeli plans to build a canal linking the Mediterranean with the Dead Sea on April 17.,4,0,,,GEDS,,,,,,
2016,1424,2,2173,2140,G63,G63A,EG81.00184,8/14/1981,EGY_ISR,NTAP,0,Med-Dead Canal,EGY,ISR,I,R,NTAP_EGY,NTAP_ISR,Egypt--Israel--Not Stated/Unidentified,3,6,2,n/a-salt water canal,"Arab delegations, with the exception of Egypt's, walked out in protest against Israel during a United Nations energy conference, on August 14.  It happened as Israeli speaker, Yitzhak Modai set out a controversial Israeli plan to generate hydroelectric power by building a canal to link the Mediterranean to the Dead Sea.",4,0,,,GEDS,,,,,,
2017,1424,1,2174,2141,G63,G63B,EG81.00184,8/14/1981,ISR_UKN,NTAP,0,Med-Dead Canal,ISR,UKN,R,I,NTAP_ISR,NTAP_UKN,Egypt--Israel--Not Stated/Unidentified,3,10,-2,n/a-salt water canal,"Arab delegations, with the exception of Egypt's, walked out in protest against Israel during a United Nations energy conference, on August 14.  It happened as Israeli speaker, Yitzhak Modai set out a controversial Israeli plan to generate hydroelectric power by building a canal to link the Mediterranean to the Dead Sea.",4,0,,,GEDS,,,,,,
2073,1454,1,2022,2018,G190,G190,IR83_.00129,3/28/1983,IRN_UKN,NTAP,0,n/a,IRN,UKN,I,R,NTAP_IRN,NTAP_UKN,Iran--Not Stated/Unidentified,3,7,1,n/a-pollution threat to desalt plant,"Iran asked its Arab neighbors in the Gulf to help break up a hug oil slick which is threatening marine life and coastal water desalination and power plants.  Iranian ambassador Ali Shams Ardakani issued the invitation in a press statement in Kuwait on March 28, as teams stood by to attack the slick, twice the size of New York's Manhattan Island. ""We said we are ready to send our team and invited other Gulf countries, except Iraq, to join us to face this immense pollution threat,"" Dr Shams told Reuters by telephone.",1,0,,,GEDS,,,,,,
2074,1455,1,2023,2019,G189,G189,IR83.00569,5/2/1983,ARE_JPN,NITL,0,not international basin,ARE,JPN,R,I,NITL_ARE,NITL_JPN,Japan--United Arab Emirates,2,7,1,ExVar,Japan offered to supply water if desalinization plants are closed by oil slicks in United Arab Emirates on May 2.,2,0,,,GEDS,,,,,,
2104,1468,1,2228,2202,G268,G268,LY84.00033,2/17/1984,GFR_LBY,NITL,0,Sahara desert to Tripoli,GFR,LBY,R,I,NITL_GFR,NITL_LBY,German Fed. Republic (West Germany)--Libya,4,7,1,ExVar,"Libyan leader Muammar Gaddafi requested participation from West German companies in a water project. Gaddafi, interviewed in Tripoli by the Cologne-based overseas radio ""Deutsche Welle"", said he would like West German companies to participate in building a 4,000 km (2,500 mile) underground ""river"" to bring water to the mediterranean coast. A concrete pipeline four metres (13 feet) wide would carry about four million cubic metres (yards) of water daily from two underground reservoirs discovered under the desert. Gaddafi said the supply could recover 18,000 hectares (44,000 acres) of barren land and make it fertile. About half of the estimated 30 billion dollar investment would come from Saudi Arabia, Gaddafi was quoted as saying.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
2225,1524,1,2343,2317,G269,G269,LY86.01153,12/30/1986,LBY_TCD,NTAP,0,northern Chad,LBY,TCD,R,I,NTAP_LBY,NTAP_TCD,Chad--Libya,2,10,-2,n/a-weapon/target,"Chad's President Hissene Habre accused Libya of trying to wipe out all forms of life in northern Chad. He told diplomats at an end-of-year reception that the situation in the northern part of the country was dramatic, with Libyan artillery and warplanes making random attacks on civilian targets. Habre repeated earlier charges that Libyan troops were poisoning water holes, using napalm and toxic gas and setting fire to palm groves in their efforts to eliminate forces loyal to Goukouni, who is now allied to the government. He accused Libya of wanting to annex the country, adding that to reach its goal ""it tried to eliminate all forms of life in that region of Chad"". Habre said the Chadian people were determined to fight and to make the necessary sacrifices in order to check the Libyan push. ""We want to be free and the masters of our own destiny,"" he said.",1,0,,Location of watering holes not specified.  Countries share small part of Lake Chad basin.  May be an external variable.,GEDS,,,,,,
2268,1546,1,2387,2361,G49,G49,AL87.00060,10/23/1987,COM_DZA,NITL,0,not international basin,COM,DZA,I,R,NITL_COM,NITL_DZA,Algeria--Comoros,2,6,2,n/a-not international basin,"State-owned Radio, Comoros announced that Algeria has agreed to give aid to the Comoros Islands following a three-day visit by Algerian deputy foreign minister.  The radio said on October 23, Algeria had agreed to install piped water in Domoni, the home town of President Ahmed Abdallah, and to a request to send secondary school teachers to work in the Comoros.  Algeria, which like the Comoros is an Islamic state and former French colony, might also supply the islands with gas, it added.",0,0,,,GEDS,,,,,,
2356,1614,1,2456,2438,G270,G270A,LY88.00293,12/13/1988,FRA_SDN,NTAP,0,Sudan,FRA,SDN,R,I,NTAP_FRA,NTAP_SDN,Chad--Sudan--France--Libya,4,9,-1,n/a-weapon/target,"Sudanese Prime Minister, Sadeq al-Mahadi accused France, Libya, and Chad of carrying out extensive intelligence operations in Sudan on December 13. He also told parliament that the Central African Republic had annexed part of southwest Sudan and begun to levy a water tax on local tribes. ""The government will endeavour to regain the strip and call for redefining the border,"" he added.",0,0,,,GEDS,,,,,,
2357,1614,2,2457,2439,G270,G270B,LY88.00293,12/13/1988,LBY_SDN,NTAP,0,Sudan,LBY,SDN,R,I,NTAP_LBY,NTAP_SDN,Chad--Sudan--France--Libya,4,9,-1,n/a-weapon/target,"Sudanese Prime Minister, Sadeq al-Mahadi accused France, Libya, and Chad of carrying out extensive intelligence operations in Sudan on December 13. He also told parliament that the Central African Republic had annexed part of southwest Sudan and begun to levy a water tax on local tribes. ""The government will endeavour to regain the strip and call for redefining the border,"" he added.",0,0,,,GEDS,,,,,,
2358,1614,3,2458,2440,G270,G270C,LY88.00293,12/13/1988,SDN_TCD,NTAP,0,Sudan,SDN,TCD,I,R,NTAP_SDN,NTAP_TCD,Chad--Sudan--France--Libya,4,9,-1,n/a-weapon/target,"Sudanese Prime Minister, Sadeq al-Mahadi accused France, Libya, and Chad of carrying out extensive intelligence operations in Sudan on December 13. He also told parliament that the Central African Republic had annexed part of southwest Sudan and begun to levy a water tax on local tribes. ""The government will endeavour to regain the strip and call for redefining the border,"" he added.",0,0,,,GEDS,,,,,,
2362,1618,1,2462,2444,G271,G271,ly89.00111,1/10/1989,LBY_OTH,NITL,0,Sahara desert to Tripoli,LBY,OTH,R,I,NITL_LBY,NITL_OTH,Libya--Multi-National Corporation,5,7,1,ExVar,"Spiro Agius, chairman of GTM-International, the overseas arm of GTM-Entrepose announced its competition for a Libyan contract to build a water pipeline. The value of the contract for the 800-km (500-mile) line is estimated at around 3.2 billion dollars. It aims to pipe water from vast natural underground reservoirs deep in the Sahara desert to densely populated coastal areas where water sources have been severely depleted. said the consortium which also includes Dumez and a subsidiary of Compagnie Generale des Eaux, was bidding for for the second phase of the project which calls for a pipeline to supply the Tripoli area. The French firm is competing with South Korean and Indian firms.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
2407,1649,1,2507,2489,G272,G272A,ly89.00238,5/29/1989,FRA_OTH,NITL,0,Sahara desert to Tripoli,FRA,OTH,O,I,NITL_FRA,NITL_OTH,France--Multi-National Corporation--German Fed. Republic (West Germany)--Libya,4,0,,ExVar-other,"French construction group Bouygues chairman Francis Bouygues announced intentions to head a European consortium in a bid for a contract in Libya. ""It's the biggest construction project I have ever seen,"" he told a news conference. He said the consortium would include seven other companies including West German construction firm Bilfinger und Berger Bau AG. He declined to name the others. ""We have had talks with Libyan officials, but this is a long-term effort,"" Bouygues said. The project involves a six-billion-dollar contract forming part of a massive Libyan irrigation scheme.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
2408,1649,2,2508,2490,G272,G272B,ly89.00238,5/29/1989,GFR_OTH,NITL,0,Sahara desert to Tripoli,GFR,OTH,O,I,NITL_GFR,NITL_OTH,France--Multi-National Corporation--German Fed. Republic (West Germany)--Libya,4,0,,ExVar-other,"French construction group Bouygues chairman Francis Bouygues announced intentions to head a European consortium in a bid for a contract in Libya. ""It's the biggest construction project I have ever seen,"" he told a news conference. He said the consortium would include seven other companies including West German construction firm Bilfinger und Berger Bau AG. He declined to name the others. ""We have had talks with Libyan officials, but this is a long-term effort,"" Bouygues said. The project involves a six-billion-dollar contract forming part of a massive Libyan irrigation scheme.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
2409,1649,3,2509,2491,G272,G272C,ly89.00238,5/29/1989,LBY_OTH,NITL,0,Sahara desert to Tripoli,LBY,OTH,R,I,NITL_LBY,NITL_OTH,France--Multi-National Corporation--German Fed. Republic (West Germany)--Libya,4,7,1,ExVar,"French construction group Bouygues chairman Francis Bouygues announced intentions to head a European consortium in a bid for a contract in Libya. ""It's the biggest construction project I have ever seen,"" he told a news conference. He said the consortium would include seven other companies including West German construction firm Bilfinger und Berger Bau AG. He declined to name the others. ""We have had talks with Libyan officials, but this is a long-term effort,"" Bouygues said. The project involves a six-billion-dollar contract forming part of a massive Libyan irrigation scheme.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
2416,1653,1,2516,2498,G202,G202,IR89A.00655,6/28/1989,IRN_USR,NTAP,0,n/a,IRN,USR,I,R,NTAP_IRN,NTAP_USR,Iran--USSR,2,7,1,n/a-economic trade,"Iranian Finance Minister Mohammad Javad Iravani said the building of a nuclear power plant was discussed with the Soviet Union. Iravani led the Iranian economic delegation which signed a wide range of agreements, including projects worth a total of six billion dollars, during Parliamentary Speaker Ali Akbar Hashemi Rafsanjani's visit to Moscow last week. The radio report, monitored in Nicosia, did not elaborate on the discussions about the nuclear plant. Iravani said Iran would pay for the projects -- including dams, railways and power station -- by exporting natural gas to the Soviet Union.",10,0,,Locations of hydro-projects not specified.,GEDS,,,,,,
2431,1667,1,2531,2513,G247,G247,ko89.00336,8/31/1989,LBY_UKN,NITL,0,Sahara desert to Tripoli,LBY,UKN,R,I,NITL_LBY,NITL_UKN,Libya--Not Stated/Unidentified,3,6,2,ExVar,"A spokesman for Dong Ah Construction Industrial Company announced that it had won a Libyan contract to build a water pipeline.  The value of the 90-month contract for the 1,100-km (683-mile) line totals 5.3 billion dollars, the spokesman for Dong Ah Construction Industrial Company said on August 31.  The spokesman said Dong Ah's chairman, Choi Won-suk currently visiting Tripoli would soon sign a contract with Libyan authorities. Seven firms from five countries had bid for it, he said.",10,0,"Man-made River Project, LBY",,GEDS,,,,,,
