Basin,Country 1,Country 2,Description,Scale
DANUBE,FRA,GBR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,CZS,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,GBR,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,HUN,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,CZS,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,CZS,HUN,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,CZS,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,CZS,ROM,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
TIGRIS/SHATT,EGY,IRQ,Egypt and Iraq agree on terms of Le3m loan to finance irrigation,4
n/a,GBR,URY,Great Britain sells to Uruguay the Montevideo Water Works Co.,4
JORDAN,EGY,ISR,Egypt destroys to Israel some water & communications line to Negev Jew,-6
HAN,PRK,KOR,Democratic People's Republic of Korea refuses to Republic of Korea entry of Kos Reservoir inspection party,-3
Lake Lanoux (Fonte-Vive  Carol and Segre Rivers),ESP,FRA,"In 1949  France and Spain set up a ""Mixed Commission of Engineers"" to study proposals to regulate the use of Lake Lanoux.   It was agreed at this meeting not to alter the status quo until the two governments jointly agreed.",4
n/a,CHN,INT,China plans to defent Yangtze River n bank by Government,-5
they share the Nile,EGY,UGA,Egypt and Uganda agree on plan for hydroelectric and irrigation scheme,4
n/a,EGY,INT,Egypt announces Sudan dam projects,0
n/a,JOR,INT,Jordan initiates the Wadi Al-Arab irrigation project,3
NILE,EGY,GBR,Egypt and Great Britain agree hydroelectric  flood control works on Nile,3
NILE,EGY,SDN,Egypt desires Sudan participation in water & dam project,1
NILE,EGY,GBR,Great Britain and Egypt agree Owen Falls irrigation & electric plan ,4
Indus,IND,PAK,"In the Delhi agreement signed in May 1948  conflicting claims for water between India and Pakistan were not resolved.  In the agreement  India would not withdraw water delivery without allowing time for Pakistan to develop alternative sources.  Pakistan expressed displeasure with this agreement in a note dated 16 June 1949  calling for the ""equitable apportionment of all common waters "" and suggesting turning jurisdiction of the case over to the World Court.",-2
Indus,IND,PAK,"In response to Pakistan's note dated 16 June 1949  calling for the ""equitable apportionment of all common waters "" and suggesting turning jurisdiction of the case over to the World Court  India suggested that each side try to resolve their differences before turning the problem over to a third party.  This stalemate lasted through 1950.",-2
n/a,NIC,INT,Nicaragua transforms territory of San Juan River into 16th State ,6
NILE,EGY,ETH,Ethiopia visits Egypt MN to discuss Nile water DVL,3
n/a,EGY,INT,Egypt votes for LE4.5M for dam and power station at Owen Falls ,3
n/a,AUS,INT,Australia begins hydroelectric project,3
?international basin,GBR,IDN,Great Britain recognizes Indonesian praticipation in water & dam project,2
?international basin,IDN,TUR,Turkey recognizes Indonesian participation in water & dam project,2
Lesotho Highlands Project,LSO,ZAF,A project to transfer water from the Senqu River to South Africa has been investigated in the 1950's  and again in the 1960's.  The project was never implemented due to disagreement over appropriate payment for the water.,2
Lake Lanoux (Fonte-Vive  Carol and Segre Rivers),ESP,FRA,In 1950  Electricite of France requested permission from the French government to erect a barrier in order to raise capacity of Lake Lanoux  divert waters to the River Ariege for hydroelectric power  and return the water back to the River Carol by a constructing a tunnel.  Proposal submitted to the Mixed Commission of Engineers (which has no binding legal authority). ,2
JORDAN,JOR,ISR,Jordan considers with Israel unification both sides of Jordan River final,-1
ODER  NEISSE,GDR,POL,German Dem. Republic and Poland approve E frontier is Oder & Neisse River,2
 ?Berlin - Oder/Elbe,GDR,GFR,German Dem. Republic and German Fed. Republic suspend all water & electricity supply,-3
 ?Berlin - Oder/Elbe,GDR,GFR,German Dem. Republic settles with German Fed. Republic  payment ends water supply block,2
JORDAN,ISR,INT,Israel initiates 7 year project to drain Huleh Swamps for farming,3
n/a,TUR,INT,Turkey states hyrdoelectric project will need $47 million,3
Lake Tana dam,EGY,ETH,United Kingdom  Ethiopia  and Egypt agree to construction of a dam at Lake Tana ,4
Lake Tana dam,EGY,GBR,United Kingdom  Ethiopia  and Egypt agree to construction of a dam at Lake Tana ,4
Lake Tana dam,ETH,GBR,United Kingdom  Ethiopia  and Egypt agree to construction of a dam at Lake Tana ,4
UK-Egypt,EGY,GBR,Great Britain contributes to Egypt $400 000 for improvement of rural water supply,4
n/a,ISR,JOR,Jordan accuses Israel of aggression in Yarmuk & Jordan River area,-2
YALU,PRK,USA,United States capture Dem. People's Republic of Korea (North) take Hyesanin on Yalu River,-7
Indus,IND,USA,"After visiting India and Pakistan  David Lilienthal  former chairman of the US Tennessee Valley Authority (TVA)  wrote an article outlining water resource development recommendations for the region and suggesting that international financing be arranged to fund the workings of an ""Indus Engineering Corporation.""",1
Indus,PAK,USA,"After visiting India and Pakistan  David Lilienthal  former chairman of the US Tennessee Valley Authority (TVA)  wrote an article outlining water resource development recommendations for the region and suggesting that international financing be arranged to fund the workings of an ""Indus Engineering Corporation.""",1
n/a,CHN,UNO,China launches heavy attack to United Nations along Imjin River front,-6
Indus,IND,USA,In 1951  Indian Prime Minister Nehru  invited David Lilienthal  former chairman of the US Tennessee Valley Authority (TVA) to visit India.,1
canal running from Douglas  Arizona into Agua Prieta  Mexico,MEX,USA,In 1951  Mexico asks US to repair water canal running from Arizona (Douglas) into Mexico (Agua Prieta).  Mexico asserts US built canal without agreement with Mexico  so it's US responsibility to fix canal's embankments.,-2
canal running from Douglas  Arizona into Agua Prieta  Mexico,MEX,USA,"US replies to Mexico complaint re. repair of water canal:  City official from Douglas  AZ and Agua Prieta  MEX conferrred in construction of  canal, Douglas had changed path of canal at request of Agua Prieta, and  both sides had benefited from canal for a number of years.  Therefore  a ""question of damages does not seem to arise"".  The growth of Douglas and Agua Prieta had caused concern on both sides of border.  Studies recommended new flood control works be built.  US called for equitable division of costs.",-2
n/a,MMR,INT,Myanmar (Burma) recaputres GYOBYU Waterworks,-4
n/a,UNO,USA,United States urges United Nations to study world cooperation on control of waterway,1
n/a,MMR,USA,United States allots $1M to Myanmar (Burma) toward restoration of waterfront,4
JORDAN,ISR,INT,Israel evacuates 650 arabs from Lake Huleh area   against Syria & Palestinian Liberation Organization,-3
JORDAN,ISR,SYR,Israel evacuates 650 arabs from Lake Huleh area   against Syria & Palestinian Liberation Organization,-2
JORDAN,ISR,PLO,Israel evacuates 650 arabs from Lake Huleh area   against Syria & Palestinian Liberation Organization,-4
JORDAN,ISR,SYR,Israel states to Syria Israel to continue draining Huleh Swamp,-2
n/a,CHN,USA,China opens Hwachon Dam in attempt to stop advance of United States and United Nations,-6
n/a,CHN,UNO,China opens Hwachon Dam in attempt to stop advance of United States and United Nations,-6
n/a,PRK,KOR,Republic of Korea captures People's Republic of Korea Hwachon Resevoir Dam and town of Hwachon,-7
JORDAN,ISR,SYR,Israel repulses Syrian attacks N of Lake Tiberias,-6
JORDAN,SYR,USA,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,1
JORDAN,GBR,ISR,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,1
JORDAN,FRA,ISR,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,-1
JORDAN,FRA,SYR,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,2
JORDAN,SYR,TUR,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,2
JORDAN,ISR,TUR,Israel requested to stop swamp drainage project by Great Britain and  for Syria  by France  Turkey  and United States,1
JORDAN,ARL,FRA,France and Turkey offer motion to Arab League asking Israel to suspend swamp drainage,1
JORDAN,ARL,TUR,France and Turkey offer motion to Arab League asking Israel to suspend swamp drainage,1
JORDAN,ISR,USA,United States offers motion to Israel asking Israel to suspend swamp drainage,-1
JORDAN,ISR,UNO,Israel upholds SCC resolution to United Nations on swamp drainage by Knesset,2
?,IRN,USR,Iran rejects Soviet Union demand to stop work on dam ,-2
?which dam,IRN,USR,Soviet Unions charges Iran dam cuts off part of territory,-2
JORDAN,JOR,UNO,Jordan Protests to United Nations and Israel -- Israel damming of Jordan River ,1
JORDAN,ISR,JOR,Jordan Protests to United Nations and Israel -- Israel damming of Jordan River ,-2
JORDAN,ISR,SYR,IsraeI claims to Syria  right to reclamation work in Huleh Swamps,-1
Indus,IBK,PAK,After reading recommendations by David Lilienthal  former chairman of the US TVA  for an Indus Engineering Corporation  David Black  president of the World Bank  contacted the prime ministers of Pakistan and India and offered the Bank as a facilitator for the resolution of their conflict.  Black suggested that both sides appoint a senior engineer to work on a plan for development of the Indus Basin.,1
Indus,IBK,IND,After reading recommendations by David Lilienthal  former chairman of the US TVA  for an Indus Engineering Corporation  David Black  president of the World Bank  contacted the prime ministers of Pakistan and India and offered the Bank as a facilitator for the resolution of their conflict.  Black suggested that both sides appoint a senior engineer to work on a plan for development of the Indus Basin.,1
Us/Spain,ESP,USA,United States loans $5 600 000 to Spain for development of hydro-electric,4
JORDAN,ISR,USA,Israel informs Great Britain  Jordan  and United States Israel ready to negotiate Jordan River,1
JORDAN,GBR,ISR,Israel informs Great Britain  Jordan  and United States Israel ready to negotiate Jordan River,1
JORDAN,ISR,JOR,Israel informs Great Britain  Jordan  and United States Israel ready to negotiate Jordan River,1
KASHMIR River,IND,PAK,Pakistan charges Indian plans to divert vital water from Kashmir River,-2
DANUBE,AUT,USR,Soviet Union returns site of Danube hydroelectric development to Austria,2
Us/South Korea,KOR,USA,United States ships Army-in water purification equipment to Republic of Korea,4
JORDAN,JOR,SYR,Jordan confers with Syria on governing use of Yarmuk River,1
Ganges,IND,PAK,Pakistan first calls Indian attention to reports of Indian plans to build a barrage at Farakka to divert Ganges water to Calcutta Bay.  India responds that the project was only under preliminary investigation.,-1
n/a,MMR,INT,Myanmar (Burma) cuts  Rangoon water supply-rebels,-4
n/a,LBN,INT,Lebanon rejects bill for Litani River Dam expense,-1
Mekong,KHM,LAO,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,KHM,THA,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,KHM,VNM,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,LAO,THA,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,LAO,VNM,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,THA,VNM,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,KHM,UNO,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,LAO,UNO,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,THA,UNO,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
Mekong,VNM,UNO,In 1952  United Nations Economic Commission for Asia and the Far East (ECAFE) study notes Mekong's potential for hydroelectric and irrigation development.  Study undertake with cooperation of four lower riparians.,3
NILE,EGY,INT,New Egyptian government proposes the building of the Aswan High Dam.  Debate followed as to whether project should be unilateral or a cooperative project with Sudan.  The debate kept Sudan out of Nile negotiations until 1954.,
is it water related or territory/boundary?,HUN,YGF,Yugoslavia (Former) asks Hungary to withdraw troops from Mura River ,1
is it water related?,HUN,YGF,Hungary rejects Yugoslavia (Former) claim to Mura River Islet,-2
Danube,AUT,DEU,Agreement concerning the Donaukraftwerk-Jochenstein Aktiengesellschaft (AG),6
Indus,IBK,IND,India and Pakistan accepted David Black's suggestion that each country appoint a senior engineer to work on a plan for development of the Indus Basin  with a World Bank engineer available as an ongoing consultant.  The first meeting of the Working Party took place in Washington  DC  in May 1952  and included Indian and Pakistani engineers  along with a team from the World Bank.,2
Indus,IBK,PAK,India and Pakistan accepted David Black's suggestion that each country appoint a senior engineer to work on a plan for development of the Indus Basin  with a World Bank engineer available as an ongoing consultant.  The first meeting of the Working Party took place in Washington  DC  in May 1952  and included Indian and Pakistani engineers  along with a team from the World Bank.,2
Indus,IND,PAK,India and Pakistan accepted David Black's suggestion that each country appoint a senior engineer to work on a plan for development of the Indus Basin  with a World Bank engineer available as an ongoing consultant.  The first meeting of the Working Party took place in Washington  DC  in May 1952  and included Indian and Pakistani engineers  along with a team from the World Bank.,2
RHINE,NLD,INT,Netherlands opens to Rhine Canal,3
?which dam,TUR,UNO,Turkey and United Nations agree loan $25M to Turkey for dam,4
n/a,GDR,POL,German Dem. Republic (East Gemany) and Poland agree on navigation of Oder River,3
n/a,GDR,INT,German Dem. Republic states opening of canal bypassing West Berlin,1
St. Lawrence,CAN,USA,Exchange of notes constituting an agreement between Canada and the United States of America relating to the St. Lawrence Seaway Project,6
Nile,EGY,GBR,Exchange of notes constituting an agreement between the UK/Uganda and Egypt regarding the construction of the Owen Falls Dam in Uganda,6
NILE,EGY,GBR,Great Britain and Egypt exchange notes concerning the dam across White Nile,1
US/Iraq,IRQ,USA,United States meets with Iraq for 5 week tour of US irrigation projects,1
UK/Ussr,GBR,USR,Great Britain praises Soviet Union efficiency of Volga Dom Canal,2
NILE,EGY,SDN,Sudan and Egypt agree irrigation & dam pact,4
Indus,IND,PAK,The Working Party of India and Pakistan met in Karachi  November 1952  but were unable to agree on a common development plan for the Indus basin.,-1
JORDAN,ISR,JOR,Jordan protests to Israel pumping quantities of water from Jordan River,-2
Danube  Prut,ROM,USR,Convention between the [USSR] and [Romania] concerning measures to prevent floods and to regulate the water regime of the river Prut,6
Lake Lanoux (Fonte-Vive  Carol and Segre Rivers),ESP,FRA,"In 1953  France agreed to Electricite of France proposal and informed Spain of the policy change.  Spain disagreed and said ""no"" to the proposal.",-2
NILE,EGY,GBR,Great Britain and Egypt exchange notes concerning dam across White Nile,1
NILE,EGY,GBR,Great Britain and Egypt approve financial arrangements for reservoir,4
Indus,IND,PAK,The Working Party of India and Pakistan met in Delhi in January 1953  but were unable to agree on a common development plan for the Indus basin.,-1
Zambesi,GBR,PRT,Exchange of notes constituting an agreement between [Great Britain] and [Portugal] providing for the Portuguese participation in the Shir‚ valley.,6
Indus,IBK,IND,As India and Pakistan's Working Party were unable to reach an agreement on a common development plan for the Indus basin  the World Bank suggested that each side submit its own plan.,1
Indus,IBK,PAK,As India and Pakistan's Working Party were unable to reach an agreement on a common development plan for the Indus basin  the World Bank suggested that each side submit its own plan.,1
Lake Lanoux (Fonte-Vive  Carol and Segre Rivers),ESP,FRA,Spain initiated counter-proposals for regulation of Lake Lanoux to the Mixed Commission of Engineers  but these were rejected by France (likely because proposals would not benefit hydroelectricity production).,-2
Us/India,IND,USA,India and United States agree technical  cooperation river valley projects,3
NILE,EGY,FRA,Egypt and France accept from FRN firm bid for Aswan Hydroelectric SCHE,1
?location,JOR,SYR,Jordan and Syria agree on hydroelectric and irrigation project,4
LITANI?,LBN,USA,Lebanon and United States agree tech help and hydroelectric power pact,4
LITANI,LBN,USA,Lebanon and United States agree preparatory survey of Litani River development,3
LITANI?,LBN,INT,Lebanon announces TO 4  allocations for four years of  irrigation,3
n/a,MEX,INT,Mexico announces TO 4  irrigation project- by gov,5
?what dam  where?,GBR,USA,Great Britain denounces United States for rejecting low bid for dam project,-1
JORDAN,JOR,UNO,Jordan and United Nations agree UNRWA to give $60M for Yarmuk Hydroelectric,4
Francence/Switzerland - territory or?,FRA,GFR,France returns to German Fed. Republic (West Germany) river port of Kehl,2
?location,IND,USA,India and United States agree to contribute hydro/elec project,4
Yarmuk,JOR,SYR,Agreement between the Republic of Syria and the Hashemite Kingdom of Jordan concerning the utilization of the Yarmuk waters.,6
JORDAN,ISR,SYR,Israel states to Jordan and Syria that it is ready to negotiate joint use of waters ,1
JORDAN,ISR,LBN,Israel states to Jordan and Syria that it is ready to negotiate joint use of waters ,1
JORDAN,ISR,JOR,Israel states to Jordan and Syria that it is ready to negotiate joint use of waters ,1
JORDAN,LBN,SYR,Lebanon and Syria approve Yarmuk River agreement in its final form,2
JORDAN,JOR,INT,Jordan begins recruiting labor for Yarmuk Irrigation project,3
?location,TUR,INT,Turkey reports about irrigation & hydro-electric project,3
?Kura-Araks/?Aras,TUR,USR,Soviet Union confers with Turkey talks on Igdir Plain Irrigation,1
JORDAN,ISR,INT,Israel builds hydro electric powers station project ,3
JORDAN,EGY,ISR,Israel builds canal for diversion water Jordan River against Egypt  Jordan  Lebanon  Syria,-3
JORDAN,ISR,LBN,Israel builds canal for diversion water Jordan River against Egypt  Jordan  Lebanon  Syria,-3
JORDAN,ISR,SYR,Israel builds canal for diversion water Jordan River against Egypt  Jordan  Lebanon  Syria,-5
JORDAN,ISR,JOR,Israel builds canal for diversion water Jordan River against Egypt  Jordan  Lebanon  Syria,-3
n/a,AUT,USR,Soviet Unions returns to Austria Neusiedler Lake Swamp AUS control,2
JORDAN,ISR,SYR,Syria protests to Israel diverting water to Jordan,-2
JORDAN,ISR,JOR,Jordan protests to Israel Drainage of Huleh Swamp,-2
JORDAN,ISR,UNO,Israel rejects United Nations request to suspend work on Jordan River,-2
JORDAN,JOR,SYR,Jordan states to United States and France- Jordan supports Syrian view against Israel canal project,-1
JORDAN,JOR,USA,Jordan states to United States and France- Jordan supports Syrian view against Israel canal project,-1
JORDAN,JOR,FRA,Jordan states to United States and France- Jordan supports Syrian view against Israel canal project,1
NILE,EGY,SDN,Egypt discusses with Sudan project to build new dam at Aswan,1
JORDAN,ISR,JOR,Israel announces to Jordan that Israel will suspend Jordan River project,0
Indus,IBK,IND,Accepting the World Bank's suggestion  both India and Pakistan submitted to the World Bank separate plans for development of the Indus basin on 6 October 1953.  Each plan mostly agreed on the supplies available for irrigation  but varied extremely on how these supplies should be allocated.,2
Indus,IBK,PAK,Accepting the World Bank's suggestion  both India and Pakistan submitted to the World Bank separate plans for development of the Indus basin on 6 October 1953.  Each plan mostly agreed on the supplies available for irrigation  but varied extremely on how these supplies should be allocated.,2
JORDAN,ISR,UNO,Israel informs United Nations Israel to suspend work on Jordan River project,2
JORDAN,SYR,USA,United States proposes to Syria irrigation plan for Jordan River,1
JORDAN,UNO,USA,United States submits to United Nations plan for TVA project on Jordan River,1
JORDAN,JOR,USA,United States supports Jordan  Jordan River plan,2
RIO GRANDE,MEX,USA,Mexico and United States dedicate Falcon Dam as new Mexico-United States goodwill bond,1
JORDAN,ISR,USA,Israel confers with United States on Jordan River by Dulles ,1
JORDAN,ISR,USA,United States states to Israel US plan to develop Jordan River,1
JORDAN,ISR,INT,Israel suspends work on Jordan River project,-1
JORDAN,SYR,USA,Syria (Shisekly) and United States (Johnston) confer on Jordan River,1
JORDAN,JOR,INT,Jordan reports that a water pipeline destroyed,-3
JORDAN,ISR,INT,Israel disrupts water supply to Arab Jerusalem by unknown bomb,-3
JORDAN,UKN,USA,United States states to Arab States fair chance Israel-ARA accept United States-United Nations river plan,1
JORDAN,JOR,USA,United States supports Jordan River project by Johnston,1
St. Lawrence,CAN,USA,Exchange of notes constituting an agreement between the United States and Canada relating to the establishment of the St. Lawrence River joint . . .,6
links to Gulf of Finland,FIN,USR,Finland states to Soviet Union Kekkonen to discuss Finland transit Saimaa Canal,3
JORDAN,ISR,UNO,Israel requests to United Nations expedite decision on Israel river project,1
LITANI,LBN,INT,Lebanon announces to  Litani R hydroelectric plant complete,3
LITANI,ISR,LBN,Lebanon completes to Israel arrangements for Litani River scheme,0
INDUS,IND,PAK,India threatens to Pakistan drop Indus River talks-since United States-Pakistan May talk,-2
JORDAN,JOR,USA,United States delivers to Jordan address on Jordan River development plan,1
JORDAN,ISR,INT,Israel debates  on Israel hydro-electric project,0
n/a,POL,INT,Poland plans to 4 canal system link Soviet Union GME,3
JORDAN,UNO,USA,France  and United States submit to United Nations Resolution giving Bennike Power in Jordan River,1
JORDAN,FRA,UNO,France  and United States submit to United Nations Resolution giving Bennike Power in Jordan River,0
JORDAN,GBR,UNO,Great Britain submits to United Nations draft resolution on Jordan River project,1
JORDAN,SYR,USA,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-2
JORDAN,GBR,SYR,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-2
JORDAN,FRA,SYR,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-2
JORDAN,USA,USR,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-1
JORDAN,GBR,USR,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-2
JORDAN,FRA,USR,Syria denounces and Soviet Union criticizes the wester (United States  Great Britain  and France) compromise resolution on Jordan River,-1
internal,ISR,INT,Israel reports TO 4 1953 water yield figures,0
JORDAN,UNO,USA,United States and France request to United Nations postpone SCC meeting on Jordan River dispute,1
JORDAN,FRA,UNO,United States and France request to United Nations postpone SCC meeting on Jordan River dispute,1
JORDAN,GBR,ISR,Great Britain and France revise to Israel resolution on Jordan River dispute,0
JORDAN,FRA,ISR,Great Britain and France revise to Israel resolution on Jordan River dispute,0
NILE,EGY,GBR,Egypt discusses with Great Britain preliminarily with UNK for Aswan Dam,1
