Basin,Country,Description,DateSigned,Signatories,IssueArea
Niger,Algeria,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Algeria,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Kunene,Angola,Agreement In Regard To The Development And Utilization Of The Water Potential Of The Kunene River. 18 September  1990,18/09/1990,Angola  Namibia,N.A.
Unknown,Angola,Agreement On General Cooperation And The Creation Of The Angolan-Namibian Joint Commission Of Cooperation. 18 September  1990,18/09/1990,Angola  Namibia,N.A.
Zambezi,Angola,Agreement on the Establishment of the Zambezi Watercourse Commission,13/07/2004,N.A.,N.A.
Congo/Zaire,Angola,Convention between Belgium and Portugal regarding various questions of economic interest of the colonies Belgian Congo and Angola,20/07/1927,Belgium  Portugal,Hydro-power/Hydro-electricity
Kunene,Angola,Agreement between South Africa and Portugal regulating the use of the water of the Cunene River,01/07/1926,South Africa  Portugal ,Hydro-power/Hydro-electricity
General,Angola,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
General,Angola,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
Congo/Zaire,Angola,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Angola,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Okavango,Angola,Agreement between the governments of the Republic of Angola  the Republic of Botswana  and the Republic of Namibia on the establishment of a permanent Okavango River Basin Water Commission (OKACOM),16/09/1994,Angola  Botswana  Namibia,Water Quantity
Kunene,Angola,Exchange of notes... respecting the boundary between the mandated territory of South Africa and Angola,29/04/1931,Portugal  South Africa,Water Quantity
Kunene,Angola,Agreement between the government of the Republic of South Africa and the government of Portugal in regard to the first phase of development of the water resource of the Cunene River Basin,21/01/1969,Portugal  South Africa,Water Quantity
La Plata,Argentina,Treaty of the River Plata Basin,23/04/1969,Argentina  Bolivia  Brasil  Paraguay  Uruguay,N.A.
Unknown,Argentina,Act of Santiago pertaining to river basins.,26/06/1971,Argentina  Chile,N.A.
La Plata,Argentina,Acuerdo por notas reversales sobre la creacion de una franja de seguridad de mil metros aguas abajo y aguas arriba del eje de la presa en toda su extension  de la Central Hidroelectrica de Yacyret���.,07/11/2000,Argentina  Paraguay,N.A.
Unknown,Argentina,Tratado sobre medio ambiente,17/03/1994,Bolivia  Argentina,N.A.
La Plata,Argentina,Exchange of Notes constituting an Agreement on delimitation of the frontier along the thalweg on the Uruguay River in the area of the Basic Garabi Development Project,20/10/1983,Brazil  Argentina,N.A.
Unknown,Argentina,Treaty on the Environment between the Republic of Chile and the Republic of Argentina,02/08/1991,Chile  Argentina,N.A.
La Plata,Argentina,Cooperation Agreement between the Republic of Argentina and the Oriental Republic of Uruguay to prevent and fight against pollution incidents of the aquatic environment produced by hydrocarbons and other noxious substances,16/09/1987,Oriental Republic of Urguay  Argentina,N.A.
La Plata,Argentina,Convenio para el estudio del aprovechamiento de los recursos del R���o Paran���,18/06/1971,Paraguay  Argentina,N.A.
La Plata,Argentina,Tratado de Yacyret���,03/12/1973,Paraguay  Argentina,N.A.
La Plata,Argentina,Agreement through exchange of notes constituting the Statute of the Bi-National Commission for the Pilcomayo Lower Basin between the Republic of Argentina and the Republic of Paraguay,05/08/1994,Paraguay  Argentina,N.A.
La Plata,Argentina,Treaty between Uruguay and Argentina concerning the Rio de la Plata and the corresponding maritime boundary,19/11/1973,Uruguay  Argentina,N.A.
La Plata,Argentina,Treaty between the Argentine Republic and the Eastern Republic of Uruguay on the boundary constituted by the Uruguay River,07/04/1961,Argentina  Uruguay,Border Issues  Water Quality
La Plata,Argentina,Agreement on Paran��� River projects,19/10/1979,Argentina  Brazil  Paraguay,Flood control/relief  Water Quantity
La Plata,Argentina,Agreement concerning the utilization of the rapids of the Uruguay River in the Salto Grande area,30/12/1946,Argentina  Uruguay,Hydro-power/Hydro-electricity
La Plata,Argentina,Agreement between the Argentine Republic and the Republic of Paraguay concerning a study of the utilization of the water power of the Apipe Falls,23/01/1958,Paraguay  Argentina,Hydro-power/Hydro-electricity
La Plata,Argentina,Treaty between the government of the Argentine Republic and the government of the Federal Republic of Brazil for the development of the water resources contained in the border reaches of the Uruguay river and its effluent  the Pepiri-Guazu river,17/05/1980,Brazil  Argentina,Hydro-power/Hydro-electricity  Infrastructure/Development
La Plata,Argentina,Decree No. 88.441 promulgating the agreement for water resources exploitation within the Uruguai river and its effluent the Pepiri-Guacu river  between the government of the Federal Republic of Brazil and the government of the Argentine Republic,29/06/1983,Argentina  Brazil,Infrastructure/Development
La Plata,Argentina,Treaty of the River Plate Basin,14/08/1970,Argentina  Bolivia  Brazil  Paraguay  Uruguay,Joint Management
La Plata,Argentina,Agreement constituting the trilateral commission for the development of the Pilcomayo river basin,09/02/1995,Argentina  Bolivia  Paraguay,Joint Management  Infrastructure/Development
La Plata,Argentina,Agreement for the multiple uses of the resources of the upper basin of the Bermejo river and the Grande de Tarija river,09/06/1995,Argentina  Bolivia  Paraguay,Joint Management  Infrastructure/Development
La Plata,Argentina,Protocol between Uruguay and Argentina dealing with the questions of the jurisdiction of the River Plate  signed at Montevideo,05/01/1910,Argentina  Uruguay,Navigation
La Plata,Argentina,Statute of the river Uruguay  signed at Salto,26/02/1975,Argentina  Uruguay,Navigation  Joint Management
La Plata,Argentina,Supplementary boundary treaty between the Argentine Republic and the Republic of Paraguay on the river Pilcomayo and protocol annexed to the treaty,01/06/1945,Argentina  Paraguay,Water Quantity
La Plata,Argentina,Supplementary boundary treaty between Argentina and Paraguay  signed at Buenos Aires,05/07/1939,Argentina  Paraguay,Water Quantity  Border Issues
Kura-Araks,Armenia,Agreement Between Iran and the Union of Soviet Socialist Republics Concerning the Line to be Taken by the New Frontier Between Iran and the Union of Soviet Socialist Republics through the Reservoirs of the Ararex Hyro-Engineering Complex and the Milmugan Diversion Dam on the River Araxes,02/12/1954,Iran  Union of Soviet Socialist Republics,N.A.
Kura-Araks,Armenia,Additional Protocol to the Agreement Between Iran and the Union of Soviet Socialist Republics Concerning the Line to be Taken by the New Frontier Between Iran and the Union of Soviet Socialist Republics through the Reservoirs of the Ararex Hyro-Engineering Complex and the Milmugan Diversion Dam on the River Araxes,07/05/1970,Iran  Union of Soviet Socialist Republics,N.A.
General,Armenia,CIS Agreement on rational management and protection of transboundary waterbodies.,11/09/1998,Armenia  Azerbaijan  Belarus  Georgia  Kazakhstan  Kyrgyzstan  Moldova  Republic of  Russian Federation  Tajikistan  Turkmenistan  Ukraine  Uzbekistan,N.A.
Danube,Austria,Agreement between Austria and Bavaria on the Inn River,1/1/1858,Austria  Bavaria,N.A.
Rhine-Meuse,Austria,Treaty between Austria and Liechtenstein regarding the regulation of the Rhine and tributary waters,23/06/1931,Austria  Liechtenstein,N.A.
Unknown,Austria,Summary protocol of the meeting at Bled between Governments of Austrian Republic and the Federal Republic of Yugoslavia,29/02/1952,Austrian Republic  Federal Republic of Yugoslavia,N.A.
Unknown,Austria,Summary protocol of the meeting at Velden between Governments of Austrian Republic and the Federal Republic of Yugoslavia,10/05/1952,Austrian Republic  Federal Republic of Yugoslavia,N.A.
Unknown,Austria,Summary protocol of the meeting at Opatija between Governments of Austrian Republic and the Federal Republic of Yugoslavia,10/07/1953,Austrian Republic  Federal Republic of Yugoslavia,N.A.
Danube,Austria,Treaty between Austria and Bavaria concerning the regime of the frontier line and other territorial relations between Bohemia and Bavaria,6/24/1862,Austria  Bavaria,Border Issues  Water Quality
Danube,Austria,Agreement between the Federal Republic of Germany and the European Economic Community  on the one hand  and the Republic of Austria  on the other  on cooperation on managemnet of water resources in the Danube Basin  Regensburg,01/12/1987,Austria  European Economic Community  Germany,Flood control/relief
Rhine-Meuse,Austria,Treaty between the Swiss Confederation and the Republic of Austria for the regulation of the Rhine from the mouth of the Ill to Lake Constance,10/04/1954,Austria  Switzerland,Flood Control/Relief
Rhine-Meuse,Austria,Treaty between Switzerland and Austria-Hungary for the straightening of the Rhine from the mouth of the Ill until Lake Constance,12/30/1892,Austria-Hungary  Switzerland ,Flood Control/Relief  Infrastructure/Development
Danube,Austria,Agreement between the government of the Republic of Austria and the government of the Federal Republic of Germany and of the free state of Bavaria concerning the Donaukraftwerk-Jochenstein-Aktiengesellschaft (Danube Power-Plant and Jochenstein Joint-Stoch Company),13/02/1952,Austria  German Fed. Rep.,Hydro-power/Hydro-electricity
Danube,Austria,Convention between the Austrian and Czechoslovak Republics concerning the delimitation of the frontier between Austria and Czechoslovakia and various questions connected therewith,10/03/1921,Austria  Czechoslovakia,Hydro-power/Hydro-electricity  Infrastructure/Development
Rhine-Meuse,Austria,Treaty between the Swiss Confederation and the Republic of Austria for the straightening of the Rhine from the mouth of the Ill until Lake Constance,19/11/1924,Austria  Switzerland,Infrastructure/Development
Danube,Austria,Convention on cooperation for the protection and sustainable use of the River Danube,29/06/1994,Austria  Bulgaria  Croatia  European Union  Germany  Hungary  Moldova  Romania  Slovakia  Ukraine,Joint Management
Danube,Austria,Agreement between the Federal People's Republic of Yugoslavia and the Republic of Austria concerning water economy questions in respect of the frontier sector of the Mura and the frontier waters of the Mura (the Mura Agreement)  and  Protocol to the Mura,16/12/1954,Austria  Yugoslavia,Joint Management  Water Quality
Danube,Austria,Treaty between the Republic of Austria and the Czechoslovak Socialist Republic concerning the regulation of water management questions relating to frontier waters,07/12/1967,Austria  Czechoslovakia,Navigation
Elbe,Austria,Convention supplementary to the statute of navigation of the Elbe,27/01/1923,Belgium  Czechoslovakia  France  Germany  Great Britain  Italy,Navigation
Danube,Austria,Convention instituting the definitive statute of the Danube,23/07/1921,Belgium  France  Great Britain  Greece  Serb-Croat-Slovene State  Czechoslovakia  Romania  Italy  Germany  Austria  Hungary  Bulgaria,Navigation
Elbe,Austria,Convention instituting the statute of navigation of the Elbe,22/02/1922,Italy  Germany  France  Belgium  Great Britain  Czechoslovakia,Navigation
Rhine-Meuse,Austria,Convention on the protection of the Rhine against chemical pollution,03/12/1976,European Economic Community  France  Germany  Federal Republic of  Luxembourg  Netherlands  Seitzerland,Water Quality
Rhine-Meuse,Austria,Convention on the protection of the Rhine,22/01/1998,France  Luxembourg  German Fed. Rep.  Switzerland  Netherlands  European Union,Water Quality
Danube,Austria,Treaty between the Hungarian People?s Republic and the Republic of Austria concerning the regulation of water economy questions,09/04/1956,Austria  Hungary,Water Quantity
Danube,Austria,Agreement between the Austrian Federal government and the Bavarian State government concerning the diversion of water in the Rissbach  Durrach and Walchen districts,16/10/1950,Austria  State of Bavaria,Water Quantity
Rhine-Meuse,Austria,Agreement between West Germany  Austria  and Switzerland relating to the withdrawal of water from Lake Constance,30/04/1966,Switzerland  German Fed. Rep.  Austria,Water Quantity
Danube,Austria,Convention between the government of the Federal People's Republic of Yugoslavia and the Federal Government of the Austrian Republic concerning water economy questions relating to the Drava  signed at Geneva,25/05/1954,Austria  Yugoslavia,Water Quantity  Hydro-power/Hydro-electricity
Rhine-Meuse,Austria,Convention between the delegates of the riparian states of Lake Constance: Bade  Bavaria  Austria  Switzerland and Wurtemberg  concerning the regulation of the flow of water of Lake Constance near Constance,8/31/1857,Austria  Bade  State of  Bavaria  State of  Switzerland  Wurtemberg  State of,Water Quantity  Infrastructure/Development
General,Austria,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
General,Azerbaijan,Framework Convention for the Protection of the Marine Environment of the Caspian Sea.,04/11/2003,Azerbaijan  Iran  Kazahstan  Russian Federation  Turkmenistan,N.A.
Kura-Araks,Azerbaijan,Agreement Between Iran and the Union of Soviet Socialist Republics Concerning the Line to be Taken by the New Frontier Between Iran and the Union of Soviet Socialist Republics through the Reservoirs of the Ararex Hyro-Engineering Complex and the Milmugan Diversion Dam on the River Araxes,02/12/1954,Iran  Union of Soviet Socialist Republics,N.A.
Kura-Araks,Azerbaijan,Additional Protocol to the Agreement Between Iran and the Union of Soviet Socialist Republics Concerning the Line to be Taken by the New Frontier Between Iran and the Union of Soviet Socialist Republics through the Reservoirs of the Ararex Hyro-Engineering Complex and the Milmugan Diversion Dam on the River Araxes,07/05/1970,Iran  Union of Soviet Socialist Republics,N.A.
General,Azerbaijan,CIS Agreement on rational management and protection of transboundary waterbodies.,11/09/1998,Armenia  Azerbaijan  Belarus  Georgia  Kazakhstan  Kyrgyzstan  Moldova  Republic of  Russian Federation  Tajikistan  Turkmenistan  Ukraine  Uzbekistan,N.A.
Ganges-Brahmaputra-Meghna,Bangladesh,Statute of the Indo-Bangladesh Joint Rivers Commission,24/11/1972,Bangladesh  India,Flood control/relief
Ganges-Brahmaputra-Meghna,Bangladesh,Agreement between the government of the People's Republic of Bangladesh and the government of the Republic of India on sharing of the Ganges waters at Farakka and on augmenting its flows,05/11/1977,Bangladesh  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Indo-Bangladesh memorandum of understanding on the sharing of Ganga waters at Farakka,07/10/1982,Bangladesh  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Agreement on ad hoc sharing of the Teesta waters between India and Bangladesh reached during the 25th meeting of the Indo-Bangladesh Joint Rivers Commission held in July 1983  at Dhaka,20/07/1983,Bangladesh  India,Water Quantity
Fenney,Bangladesh,Summary record of discussions of the first meeting of the Joint Committee of Experts held in Dhaka between 16-18 January  1986,18/01/1986,Bangladesh  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Summary record of discussions of the first meeting of the Joint Committee of Experts held in Dhaka between 16-18 January  1986,18/01/1986,Bangladesh  India,Water Quantity
Karnaphuli,Bangladesh,Summary record of discussions of the first meeting of the Joint Committee of Experts held in Dhaka between 16-18 January  1986,18/01/1986,Bangladesh  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Treaty between the government of the Republic of India and the government of the People's Republic of Bangladesh on sharing of the Ganga/Ganges waters at Farakka,12/12/1996,Bangladesh  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Meeting of the Joint Rivers Commission,20/07/1983,Bangladish  India,Water Quantity
Ganges-Brahmaputra-Meghna,Bangladesh,Provisional conclusion of the treaty of 18 April 1975 on the division of the waters of the Ganges,18/04/1975,India  Bangladesh,Water Quantity
Unknown,Belgium,Treaty between the Flemish Region and the Netherlands concerning water supply from the River Meuse,23/05/1905,Flemish Region  Netherlands,N.A.
Unknown,Belgium,Treaty between the Kingdom of the Netherlands and the Kingdom of Belgium concerning the connexion between the Scheldt and the Rhine,13/05/1963,Netherlands  Belgium,N.A.
Rhine-Meuse,Belgium,Proces-verbal of delimitation between Belgium and France  signed at Pussemange,20/07/1910,Belgium  France,Border Issues
Schelde,Belgium,Convention between the French Republic and the Kingdom of Belgium concerning improvement of the common River Lys between Deulemont and Menin [alt. Menen],03/02/1982,Belgium  France,Navigation
General,Belgium,Treaty between Belgium  the Federal Republic of Germany  France  Italy  Luxembourg and the Netherlands instituting the European Community of the Atomic Energy (EURATOM),25/03/1957,Belgium  France  Germany  Federal Republic of  Italy  Luxembourg,Water Quality
Rhine-Meuse,Belgium,Protocol to establish a tripartite standing committee on polluted waters  signed at Brussels,08/04/1950,Belgium  France  Luxembourg,Water Quality
Schelde,Belgium,Protocol to establish a tripartite standing committee on polluted waters  signed at Brussels,08/04/1950,Belgium  France  Luxembourg,Water Quality
Seine,Belgium,Protocol to establish a tripartite standing committee on polluted waters  signed at Brussels,08/04/1950,Belgium  France  Luxembourg,Water Quality
Rhine-Meuse,Belgium,Convention on the protection of the Rhine against chemical pollution,03/12/1976,European Economic Community  France  Germany  Federal Republic of  Luxembourg  Netherlands  Seitzerland,Water Quality
Rhine-Meuse,Belgium,Convention on the protection of the Rhine,22/01/1998,France  Luxembourg  German Fed. Rep.  Switzerland  Netherlands  European Union,Water Quality
Rhine-Meuse,Belgium,Convention between the Kingdom of Belgium and the Grand-Duchy of Luxembourg on the subject of the water of the S���re,17/03/1980,Belgium  Luxembourg,Water Quality  Infrastructure/Development
Rhine-Meuse,Belgium,Agreement on the protection of the Meuse,26/04/1994,Brussels Capital Region  France  Flemish Region  Netherlands  Wallon Region,Water Quality  Joint Management
Schelde,Belgium,Agreement on the protection of the Scheldt,26/04/1994,Brussels Capital Region  France  Flemish Region  Netherlands  Wallon Region,Water Quality  Joint Management
Rhine-Meuse,Belgium,International treaty for the Meuse,02/12/2002,Germany  Belgium  France  Luxembourg  Netherlands,Water Quality  Joint Management
Rhine-Meuse,Belgium,Convention concerning the collection  storage  and discharge of waste from ships navigating along the Rhine and other inland waters,09/09/1996,Belgium  France  Germany  Luxembourg  Netherlands  Switzerland,Water Quality  Navigation
Rhine-Meuse,Belgium,Exchange of notes constituting an agreement concerning the treaty of 12 May 1863 to regulate the diversion of water from the River Meuse and the convention of 11 January 1873 amending that treaty,24/02/1961,Belgium  Nethrlands,Water Quantity
Rhine-Meuse,Belgium,Treaty for the regulation of water withdrawal from the Meuse  followed by an explanatory note  signed at the Hague,5/12/1863,Belgium  Nethrlands,Water Quantity  Infrastructure/Development
Rhine-Meuse,Belgium,Convention for the modification of article 6 of the Treaty of 12 May 1863  regulating water withdrawal from the Meuse  followed by a declaration,1/1/1873,Belgium  Nethrlands,Water Quantity  Irrigation
General,Belgium,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Rhine-Meuse,Belgium,Revised convention relating to the navigation of the Rhine,10/17/1868,Belgium  Germany  France  Netherlands  Switzerland  UK and Northern Ireland,N.A.
Niger,Benin,"Agreement concerning the Niger River Commission and the navigation and transport on the River Niger. Done at Niamey  on 25 November 1964."" Amendment to article 2 of the above said agreement",14/03/1969,Benin  Cameroon  Chad  Ivory Coast  Guinea  Mali  Niger  Nigeria  Burkina Faso,N.A.
Volta,Benin,Agreement governing the operations of the Onchocerciasis Control Programme in the Volta River Basin area. Accra  1 November  1973,01/11/1973,Benin  Ghana  Cote d'Ivoire  Mali  Niger  Togo  Upper Volta,N.A.
Niger,Benin,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger. Done at Niamey  on 25 November 1964 [Rectification]. Niamey  15 May  1968,15/05/1968,Cameroon  Cote d'Ivoire  Dahomey  Guinea  Upper Volta  Mali  Niger  Nigeria  Chad,N.A.
Niger,Benin,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger Revised on 2nd February  1968 and 15th June  1973,15/06/1973,Niger  Benin  Chad  Guinea  Cote d'Ivoire  Mali  Nigeria  Cameroon  Upper Volta,N.A.
Niger,Benin,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Oueme,Benin,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Volta,Benin,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Benin,Convention creating the Niger Basin Authority,21/11/1980,Benin  Cameroon  Chad  Cote D'Ivoire  Revolutionaly People's Republic of Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Niger,Benin,Act regarding navigation and economic co-operation between the states of the Niger Basin,26/10/1963,Cameroon  Chad  Cote D'lvoire  Dahomey  Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Niger,Benin,Agreement concerning the River Niger Commission and the navigation and transport on the River Niger,25/11/1964,Repulic of  Dahomey (Benin)  Cameroon  Chad  Cote D'Ivoire  Guinea  Mali  Niger  Nigeria  Republic of Upper Volta (Burkina Faso),Economic Development
Niger,Benin,Agreement between the Republic of Niger and the Republic of Benin relative to the realization of the hydroelectric management of the Dyondyonga site on the M���krou river  signed at Contonou,14/01/1999,Benin  Niger,Hydro-power/Hydro-electricity
Niger,Benin,Revised financial procedures of the Niger Basin Authority  done at Ndjamena,27/10/1987,Algeria  Benin  Cameroon  Chad  Guinea  Cote D'Ivoire  Mali  Niger  Nigeria  Burkina Faso,Joint Management
Niger,Benin,Revised convention pertaining to the creation of the Niger Basin Authority  signed at N'Djamena,29/10/1987,Benin  Burkina Fano  Cameroon  Cote D'lvoire  Guinea  Mali  Niger  Nigeria  Chad,Joint Management  Economic Development
General,Benin,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Volta,Benin,Convention on the status of the Volta River and the Establishment of Volta Basin Authority,19/01/2007,Benin  Burkina Faso  Cote D'Ivoire  Ghana  Mali  Togo,Joint Management  Water Quality  Navigation  Economic Development
Niger,Benin,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Benin,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
