BCCODE,CCODE,RBO,RIV,RIV_NAME,RBO_NAME,AGREEMENT_NAME,AGREEMENT_DATE,Continent,RIP_NAMES,RIP_NO,MEMB_NAMES,MEMB_NO,LATERALITY,INCLUSIVENESS,ISSUES_NAMES,ISSUE_TYPES,ISSUE_NO,ISSUE_SCOPE,ISSUE_BROAD,WAT_LAW_REF,WAT_LAW_PRINC,LEG_PERS,ORG_TYPE,ORG_BOD_NAMES,ORG_BOD_TYPES,ORG_BOD_NO,ORG_BOD_QUAN,SEC_EX,SEC_FUNC_NAMES,SEC_FUNC_CLASS,SEC_FUNC_NO,SEC_FUNC_QUAN,DEC_MAK_SPEC,DEC_MAK_NAMES,DEC_MAK_MEC,DEC_MAK_BIND,INF_SHAR_EX,INF_SHAR_MEC,INF_SHAR_ISSUE,INF_SHAR_LEV,INF_SHAR_RIV,DISP_RES_EX,DISP_RES_MEC,DISP_RES_TYPE_1,DISP_RES_TYPE_2,DISP_RES_LEV_1,DISP_RES_LEV_2,MON_EX,MON_MEC,MON_ISSUE,MON_SCOPE,MON_LEV,ADAP_EX,ADAP_MEC,FUND_SPEC,FUND_MEC,BUD_MEC,CST_SHAR_EX,CST_SHAR_MEC,CST_SHAR_TYPE,DON_INV_EX,DON_ID,BEN_SHAR_EX,BEN_SHAR_MEC,PUB_PART_EX,PUB_PART_MEC,PUB_PART_TYPE,EX_COOP_EX,EX_COOP_MEC,EX_COOP_PART,,Websites,,,,
ARAL_KGZ,KGZ,ASBP,ARAL,Aral,Aral Sea Basin Programme,n/a,1994,Asia,Afghanistan; China; Kazakhastan; Kyrgyztan; Pakistan; Tatjikistan; Turkmenistan; Uzbekistan,8,Kazakhastan; Kyrgyztan; Tatjikistan; Turkmenistan; Uzbekistan,5,Multilateral,Non-inclusive,"capacity building; socioeconomic development and poverty alleviation; implementation of projects related to stabilization of Aral Sea at sustainable level; socio-economic development of affected areas; strategy and management of water resources of Amu Darya and Syr Darya, installation and strengthening of institutions for planning and implementing
measures",HRDV; ENVP; SOCD; QUAN,4,FEW,TRV,no,n/a,no,Committee,none,n/a,0,n/a,no,n/a,n/a,n/a,n/a,no,n/a,n/a,no,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,no,n/a,yes,donor funded,n/a,no,n/a,n/a,yes,GEF; Netherlands; Sweden; World Bank,no,n/a,.,.,.,.,.,.,,http://www.ec-ifas.org/pbam/,,,,
ARAL_TJK,TJK,ASBP,ARAL,Aral,Aral Sea Basin Programme,n/a,1994,Asia,Afghanistan; China; Kazakhastan; Kyrgyztan; Pakistan; Tatjikistan; Turkmenistan; Uzbekistan,8,Kazakhastan; Kyrgyztan; Tatjikistan; Turkmenistan; Uzbekistan,5,Multilateral,Non-inclusive,"capacity building; socioeconomic development and poverty alleviation; implementation of projects related to stabilization of Aral Sea at sustainable level; socio-economic development of affected areas; strategy and management of water resources of Amu Darya and Syr Darya, installation and strengthening of institutions for planning and implementing
measures",HRDV; ENVP; SOCD; QUAN,4,FEW,TRV,no,n/a,no,Committee,none,n/a,0,n/a,no,n/a,n/a,n/a,n/a,no,n/a,n/a,no,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,no,n/a,yes,donor funded,n/a,no,n/a,n/a,yes,GEF; Netherlands; Sweden; World Bank,no,n/a,.,.,.,.,.,.,,http://www.ec-ifas.org/pbam/,,,,
ARAL_TKM,TKM,ASBP,ARAL,Aral,Aral Sea Basin Programme,n/a,1994,Asia,Afghanistan; China; Kazakhastan; Kyrgyztan; Pakistan; Tatjikistan; Turkmenistan; Uzbekistan,8,Kazakhastan; Kyrgyztan; Tatjikistan; Turkmenistan; Uzbekistan,5,Multilateral,Non-inclusive,"capacity building; socioeconomic development and poverty alleviation; implementation of projects related to stabilization of Aral Sea at sustainable level; socio-economic development of affected areas; strategy and management of water resources of Amu Darya and Syr Darya, installation and strengthening of institutions for planning and implementing
measures",HRDV; ENVP; SOCD; QUAN,4,FEW,TRV,no,n/a,no,Committee,none,n/a,0,n/a,no,n/a,n/a,n/a,n/a,no,n/a,n/a,no,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,no,n/a,yes,donor funded,n/a,no,n/a,n/a,yes,GEF; Netherlands; Sweden; World Bank,no,n/a,.,.,.,.,.,.,,http://www.ec-ifas.org/pbam/,,,,
ARAL_UZB,UZB,ASBP,ARAL,Aral,Aral Sea Basin Programme,n/a,1994,Asia,Afghanistan; China; Kazakhastan; Kyrgyztan; Pakistan; Tatjikistan; Turkmenistan; Uzbekistan,8,Kazakhastan; Kyrgyztan; Tatjikistan; Turkmenistan; Uzbekistan,5,Multilateral,Non-inclusive,"capacity building; socioeconomic development and poverty alleviation; implementation of projects related to stabilization of Aral Sea at sustainable level; socio-economic development of affected areas; strategy and management of water resources of Amu Darya and Syr Darya, installation and strengthening of institutions for planning and implementing
measures",HRDV; ENVP; SOCD; QUAN,4,FEW,TRV,no,n/a,no,Committee,none,n/a,0,n/a,no,n/a,n/a,n/a,n/a,no,n/a,n/a,no,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,no,n/a,yes,donor funded,n/a,no,n/a,n/a,yes,GEF; Netherlands; Sweden; World Bank,no,n/a,.,.,.,.,.,.,,http://www.ec-ifas.org/pbam/,,,,
LKTC_BOL,BOL,BALT,LKTC,Lake Titicaca,Binational Autonomous Authority of the Lake Titicaca for the TDPS ,"Notes of the 12th of December 1992 between the governments of Peru and Bolivia concerning the creation of a Binational Authority (Notas Reversales del 12 de Diciembre de 1992, mediante las cuales los gobiernos de Peru y Bolivia acordaron la creacion de la Autoridad Binacional, Notas reversales del 18 de Mayo de 1993, Mediante el cual establecieron el marco de su funcionamiento)  ",1992,Latin America,Bolivia; Chile; Peru,3,Bolivia; Peru,2,Bilateral,Non-inclusive,water resources and biodiversity/envrionmental resources protection; participative management of water resources; contribution to economic development,ENVP; FMGT; BIOD; SOCD,4,FEW,TRV,.,.,yes,Authority,Authority (with Water Resources Management Unit and Master Plan Management Unit); Special Projects; Supporting Office; Executive President ,COM; SEC; OTH,4,FEW,yes,administrative functions and services; highest executing authority,.,.,.,.,.,.,.,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,.,.,yes,member contributions,budget allocated annually,yes,for maintenance of organization equal cost-sharing; for dam construction and work equal cost-sharing,EQL,.,.,.,.,yes,"various channels established for participation through information, media contacts, events for awareness raising; workshops for population for information and awareness raising; coordination with municipalities; however, participation limited in projects",INF; CONS,.,.,.,,http://www.alt-perubolivia.org/pagina ,,,,
LKTC_PER,PER,BALT,LKTC,Lake Titicaca,Binational Autonomous Authority of the Lake Titicaca for the TDPS ,"Notes of the 12th of December 1992 between the governments of Peru and Bolivia concerning the creation of a Binational Authority (Notas Reversales del 12 de Diciembre de 1992, mediante las cuales los gobiernos de Peru y Bolivia acordaron la creacion de la Autoridad Binacional, Notas reversales del 18 de Mayo de 1993, Mediante el cual establecieron el marco de su funcionamiento)  ",1992,Latin America,Bolivia; Chile; Peru,3,Bolivia; Peru,2,Bilateral,Non-inclusive,water resources and biodiversity/envrionmental resources protection; participative management of water resources; contribution to economic development,ENVP; FMGT; BIOD; SOCD,4,FEW,TRV,.,.,yes,Authority,Authority (with Water Resources Management Unit and Master Plan Management Unit); Special Projects; Supporting Office; Executive President ,COM; SEC; OTH,4,FEW,yes,administrative functions and services; highest executing authority,.,.,.,.,.,.,.,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,.,.,yes,member contributions,budget allocated annually,yes,for maintenance of organization equal cost-sharing; for dam construction and work equal cost-sharing,EQL,.,.,.,.,yes,"various channels established for participation through information, media contacts, events for awareness raising; workshops for population for information and awareness raising; coordination with municipalities; however, participation limited in projects",INF; CONS,.,.,.,,http://www.alt-perubolivia.org/pagina ,,,,
CUL_BOL,BOL,BCEC,CULL,Cullen,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Bolivia; Chile,3,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
CUL_CHL,CHL,BCEC,CULL,Cullen,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Bolivia; Chile,3,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
CUL_ARG,ARG,BCEC,CULL,Cullen,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Bolivia; Chile,3,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
LKFN_BOL,BOL,BCEC,LKFN,Lake Fagao,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Chile,2,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
LKFN_CHL,CHL,BCEC,LKFN,Lake Fagao,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Chile,2,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
LKFN_ARG,ARG,BCEC,LKFN,Lake Fagao,Binational Commission of Economical Cooperation and Physical Integration,.,.,Latin America,Argentina; Chile,2,Argentina; Bolivia; Chile,3,Multilateral,Non-inclusive,promotion of economic development on basis of water resources,SOCD,1,SIN,BRV,no,n/a,yes,Commission,.,.,.,.,yes,administrative and technical authority of the institution,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,yes,"joint financing for institution, individual financing for projects in countires",.,.,.,.,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
